date,prcp,RH,tmax,tmin,vp,discharge
2000/1/1,0,73,116,-18,9922,243
2000/1/2,0,71,165,-33,9919,198
2000/1/3,0,73,137,-13,9860,150
2000/1/4,0,85,59,2,9868,157
2000/1/5,2,88,42,15,9890,157
2000/1/6,0,72,127,25,9942,166
2000/1/7,32700,79,37,-20,9937,178
2000/1/8,0,83,26,-43,9899,173
2000/1/9,0,81,91,-39,9901,158
2000/1/10,16,90,34,-13,9914,142
2000/1/11,27,95,30,15,9929,164
2000/1/12,0,86,97,12,9933,263
2000/1/13,1,89,38,5,9917,289
2000/1/14,27,90,9,-14,9931,205
2000/1/15,17,88,10,-16,9953,152
2000/1/16,3,89,30,-8,9995,142
2000/1/17,2,86,82,0,9988,122
2000/1/18,0,72,120,-32,9991,123
2000/1/19,0,69,66,-42,10005,145
2000/1/20,0,67,68,-45,10008,172
2000/1/21,37,79,31,-17,10008,180
2000/1/22,32700,85,51,-42,9968,179
2000/1/23,1,87,31,5,9974,170
2000/1/24,34,85,22,-14,10063,143
2000/1/25,1,77,5,-31,10107,117
2000/1/26,0,73,64,-37,10096,199
2000/1/27,32700,67,38,-6,10075,223
2000/1/28,0,67,63,-8,10018,230
2000/1/29,0,66,97,-46,10056,199
2000/1/30,0,58,56,-53,10122,175
2000/1/31,8,62,27,-26,10117,187
2000/2/1,0,59,25,-56,10048,172
2000/2/2,32700,73,54,-57,10000,162
2000/2/3,0,68,64,-55,9990,157
2000/2/4,2,79,41,7,9983,142
2000/2/5,0,76,133,-42,9957,159
2000/2/6,0,72,142,-20,9928,242
2000/2/7,0,22,114,21,9982,200
2000/2/8,0,48,119,-55,9946,191
2000/2/9,0,58,63,-30,9927,181
2000/2/10,0,68,117,-50,9883,164
2000/2/11,0,65,157,-21,9888,183
2000/2/12,0,68,162,-3,9868,164
2000/2/13,2,58,135,61,9889,139
2000/2/14,0,51,166,6,9947,158
2000/2/15,0,51,144,-28,9950,140
2000/2/16,0,56,146,6,9902,137
2000/2/17,32700,82,97,-15,9901,135
2000/2/18,85,90,66,37,9874,130
2000/2/19,8,88,77,45,9895,159
2000/2/20,32700,80,108,49,9913,157
2000/2/21,2,78,79,48,9909,141
